ticker,company_name,sector,fetched_at
PNSC,Pakistan National Shipping Corporation,TRANSPORT,2026-09-10
POL,Pakistan Oilfields Limited,OIL & GAS EXPLORATION COMPANIES,2026-09-10
POML,Punjab Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,2026-09-10
POWER,Power Cement Limited,CEMENT,2026-09-10
POWERPS,Power Cement (Pref),CEMENT,2026-09-10
POWERR1,Power Cement (R),,2026-09-10
PPL,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES,2026-09-10
PPP,Pakistan Paper Products Limited,"PAPER, BOARD & PACKAGING",2026-09-10
PPVC,Pakistan PVC Limited,CHEMICAL,2026-09-10
PQGTL,Pak Qatar General Takaful Limited,INSURANCE,2026-09-10
PREMA,At-Tahur Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
PRET,Premium Textile Mills Limited,TEXTILE SPINNING,2026-09-10
PRIB,Prudential Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
PRIC,Progressive Insurance Company Limited,INSURANCE,2026-09-10
PRL,Pakistan Refinery Limited,REFINERY,2026-09-10
PRLR1,Pak Refinery (R),,2026-09-10
PRWM,Prosperity Weaving Mills Limited,TEXTILE WEAVING,2026-09-10
PSEL,Pakistan Services Limited,MISCELLANEOUS,2026-09-10
PSMC,Pak Suzuki Motor Company Limited,AUTOMOBILE ASSEMBLER,2026-09-10
PSO,Pakistan State Oil Company Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
PSX,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
PSYL,Pakistan Synthetics Limited,SYNTHETIC & RAYON,2026-09-10
PTC,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION,2026-09-10
PTL,Panther Tyres Ltd.,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
PUDF,Prudential Stocks Fund Limited,CLOSE - END MUTUAL FUND,2026-09-10
QTECH,Quantum Data Technologies Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
QUET,Quetta Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
QUICE,Quice Food Industries Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
QUSW,Quality Steel Works Limited,,2026-09-10
RAVT,Ravi Textile Mills Limited,TEXTILE SPINNING,2026-09-10
RCML,Reliance Cotton Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
REDCO,Redco Textiles Limited,TEXTILE COMPOSITE,2026-09-10
REGAL,Regal Ceramics Limited,GLASS & CERAMICS,2026-09-10
REWM,Reliance Weaving Mills Limited,TEXTILE COMPOSITE,2026-09-10
RICL,Reliance Insurance Company Limited,INSURANCE,2026-09-10
RMPL,Rafhan Maize Products Company Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
RPL,Roshan Packages Limited,"PAPER, BOARD & PACKAGING",2026-09-10
RUBY,Ruby Textile Mills Limited,TEXTILE SPINNING,2026-09-10
RUPL,Rupali Polyester Limited,SYNTHETIC & RAYON,2026-09-10
SAIF,Saif Textile Mills Limited,TEXTILE SPINNING,2026-09-10
SALT,Salfi Textile Mills Limited,,2026-09-10
SANE,Salman Noman Enterprises Limited,TEXTILE SPINNING,2026-09-10
SANSM,Sanghar Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
SAPL,Sanofi-Aventis Pakistan Limited,PHARMACEUTICALS,2026-09-10
SAPT,Sapphire Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
SARC,Sardar Chemical Industries Limited,CHEMICAL,2026-09-10
SASML,Sindh Abadgars Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
SAZEW,Sazgar Engineering Works Limited,AUTOMOBILE ASSEMBLER,2026-09-10
SBL,Samba Bank Limited,COMMERCIAL BANKS,2026-09-10
SCBPL,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS,2026-09-10
SCHT,Schon Textiles Limited,TEXTILE COMPOSITE,2026-09-10
SCL,Shield Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
SDIL,Saleem Denim Industries Limited,TEXTILE WEAVING,2026-09-10
SDOT,Sadoon Textile Industries Limited,TEXTILE WEAVING,2026-09-10
SEARL,The Searle Company Limited,PHARMACEUTICALS,2026-09-10
SEARLR1,Searl Company(R),,2026-09-10
SEL,Sitara Energy Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
SELECT,Select Technologies Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
SEPCO,Southern Electric Power Company Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
SEPL,Security Papers Limited,"PAPER, BOARD & PACKAGING",2026-09-10
SERF,Service Fabrics Limited,TEXTILE WEAVING,2026-09-10
SERT,Service Industries Textiles Limited,TEXTILE SPINNING,2026-09-10
SFAT,Safa Textiles Limited,TEXTILE COMPOSITE,2026-09-10
SFL,Sapphire Fibres Limited,TEXTILE COMPOSITE,2026-09-10
SFLL,SFL Limited,TEXTILE COMPOSITE,2026-09-10
SGABL,SG.Allied Businesses Limited,SYNTHETIC & RAYON,2026-09-10
SGF,Service GlobalFootwear Limited,LEATHER & TANNERIES,2026-09-10
SGFL,S.G.Fiber Limited,SYNTHETIC & RAYON,2026-09-10
SGPL,S.G. Power Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
SGPLR,S.G.Power Limited(RIGHT),POWER GENERATION & DISTRIBUTION,2026-09-10
SHCI,Shaffi Chemical Industries Limited,CHEMICAL,2026-09-10
SHCM,Shadman Cotton Mills Limited,TEXTILE SPINNING,2026-09-10
